Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
GTX0486.bin.83_k141,4426,320,379603,107,6,60,74,13698,21
GTX0486.bin.92_k141,26825,6277,570593,307,57,1724,2527,58237,266
GTX0486.bin.96_k141,336163,1657,2035105,207,6,125,159,124498,40
GTX0486.bin.99_k141,2898,14725,389150,3137,133,6282,3941,25820,1277
GTX0493.bin.10_k141,23367,237298,18730,371781,121187,105067,242394,21982,782730
GTX0493.bin.14_k141,928,9495,1688,92306,889754,6209,13404,704,604041
GTX0493.bin.18_k141,7403,20854,15219,22047,28995,14468,19842,12228,245051
GTX0493.bin.21_k141,9412,104062,10847,22778,15431,36967,47154,6609,257977
GTX0493.bin.23_k141,144756,271395,2601678,3188266,5440714,4349253,99408,183019,4057828
GTX0493.bin.27_k141,27,56228,161,17643,15120,10953,14358,11,174626
GTX0493.bin.34_k141,2649,64928,5017,192398,550562,53424,32713,3283,249348
GTX0493.bin.7_k141,543,14823,610,216457,1102805,19808,95257,450,415321
GTX0494.bin.10_k141,7475,42301,10850,169340,342080,49299,42881,8275,210912
GTX0494.bin.19_k141,87294160,177010184,80748718,103555687,104140006,132387638,87200906,68382301,99318384
GTX0494.bin.20_k141,552,15343,705,169919,623952,85399,75899,403,217598
GTX0494.bin.21_k141,17210,145952,20826,176545,298568,97193,69501,10445,108191
GTX0494.bin.29_k141,695,8008,1387,194824,604766,2268,5687,581,357816
GTX0494.bin.9_k141,4119,1000643,6243,966072,1798998,270998,434731,3184,1388887
