Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
GTX0481.bin.6_k141,0.49,95.72,2.3,99.99,1.55,14.31,54.41,0.32,69.71
GTX0481.bin.8_k141,95.6,99.44,2.88,99.98,2.94,95.09,98.77,9.01,81.95
GTX0484.bin.11_k141,6.84,37.62,11.48,27.99,3.13,99.9,21.96,6.9,2.9
GTX0484.bin.13_k141,0.34,96.71,0.62,82.62,13.73,99.99,95.58,0.29,22.56
GTX0484.bin.18_k141,0.15,18.14,0.23,2.01,0.21,100.0,20.73,1.09,1.76
GTX0484.bin.1_k141,1.59,36.66,5.65,6.52,0.26,99.93,13.88,1.55,1.22
GTX0484.bin.22_k141,41.95,99.41,91.87,97.69,87.96,99.95,99.35,91.73,96.4
GTX0484.bin.25_k141,3.54,24.94,15.79,1.15,0.03,100.0,18.76,7.14,0.07
GTX0484.bin.26_k141,3.11,14.43,4.55,65.54,3.54,99.88,29.51,3.04,43.61
GTX0484.bin.4_k141,12.92,99.14,29.33,95.26,94.87,99.9,99.38,18.29,93.64
GTX0486.bin.100_k141,83.34,0.33,99.97,0.04,0.02,0.06,0.1,9.33,0.04
GTX0486.bin.103_k141,92.26,8.44,99.98,1.41,0.5,1.24,2.18,97.27,1.15
GTX0486.bin.1_k141,14.7,0.92,99.98,0.15,0.0,0.27,0.27,12.82,0.05
GTX0486.bin.21_k141,0.69,8.12,99.99,4.1,0.08,7.62,2.03,67.87,0.31
GTX0486.bin.33_k141,62.57,18.09,99.88,4.95,0.35,14.67,6.2,83.53,1.19
GTX0486.bin.41_k141,40.49,0.07,99.98,0.17,0.08,0.19,0.07,13.64,0.18
GTX0486.bin.48_k141,3.88,5.3,99.96,3.32,1.22,2.99,4.02,8.62,2.51
GTX0486.bin.49_k141,97.12,81.17,99.97,3.19,2.79,8.48,4.84,92.68,2.79
GTX0486.bin.54_k141,50.33,2.18,99.95,1.07,0.09,1.2,1.02,76.66,0.32
GTX0486.bin.57_k141,65.5,42.86,99.91,15.62,2.53,18.19,20.2,76.0,7.38
GTX0486.bin.5_k141,81.29,0.17,100.0,0.09,0.01,0.18,0.08,89.19,0.03
GTX0486.bin.66_k141,0.04,0.41,99.99,0.03,0.0,0.02,0.14,5.68,0.01
GTX0486.bin.74_k141,95.03,14.8,99.98,1.34,0.07,15.53,7.46,55.93,0.89
GTX0486.bin.77_k141,89.04,0.16,99.99,0.03,0.0,1.02,0.83,76.0,0.01
GTX0486.bin.83_k141,7.28,0.5,100.0,0.15,0.01,0.22,0.22,30.62,0.05
GTX0486.bin.92_k141,18.0,7.86,99.98,0.85,0.12,4.01,5.98,67.26,0.4
GTX0486.bin.96_k141,84.17,0.7,100.0,0.21,0.01,0.24,0.3,83.95,0.08
GTX0486.bin.99_k141,6.08,8.49,99.95,4.54,0.33,6.02,5.48,46.54,2.57
GTX0493.bin.10_k141,5.19,89.3,6.91,89.2,53.3,75.54,92.78,5.21,99.95
GTX0493.bin.14_k141,2.53,15.82,4.08,94.31,98.83,18.42,28.64,2.49,99.97
GTX0493.bin.18_k141,12.47,23.75,19.18,34.54,63.74,24.83,22.24,15.72,99.92
GTX0493.bin.21_k141,10.77,39.78,16.02,20.54,18.6,35.35,37.52,9.78,99.67
GTX0493.bin.23_k141,3.22,4.14,98.07,99.19,99.68,99.4,1.36,8.75,99.97
GTX0493.bin.27_k141,0.1,33.1,0.84,45.54,41.86,39.41,39.29,0.06,99.93
GTX0493.bin.34_k141,4.05,72.93,5.64,94.05,94.86,76.26,56.3,3.38,99.86
GTX0493.bin.7_k141,0.14,29.78,0.14,94.98,96.42,42.62,89.48,0.08,100.0
GTX0494.bin.10_k141,6.82,23.36,9.64,94.76,99.91,36.14,19.37,6.99,97.88
GTX0494.bin.19_k141,93.53,98.94,98.23,99.78,100.0,99.61,98.32,96.12,97.22
GTX0494.bin.20_k141,1.65,35.83,2.11,98.92,99.98,96.02,93.07,1.07,99.77
GTX0494.bin.21_k141,10.13,46.43,22.46,93.52,99.57,71.18,40.17,10.63,85.67
GTX0494.bin.29_k141,2.29,12.82,3.99,97.93,99.98,7.0,12.38,2.33,98.86
GTX0494.bin.9_k141,3.94,59.89,7.45,95.11,99.98,69.55,63.89,3.16,97.75
