Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
coassembly.bin.70_k141,51.35,0.3,100.0,0.07,0.1,0.17,0.1,28.37,0.1
coassembly.bin.73_k141,97.73,99.98,96.38,98.13,96.25,100.0,99.98,74.94,96.71
coassembly.bin.76_k141,39.67,68.58,99.99,3.8,3.28,8.23,9.47,89.33,3.03
coassembly.bin.80_k141,45.36,17.62,100.0,8.37,0.44,13.3,8.88,97.55,1.4
coassembly.bin.86_k141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,100.0
coassembly.bin.88_k141,98.02,27.66,100.0,19.43,24.74,9.46,13.85,67.01,19.05
GTX0465.bin.15_k141,67.2,100.0,93.38,100.0,99.98,100.0,100.0,93.51,100.0
GTX0465.bin.1_k141,23.72,100.0,32.82,99.97,24.66,99.98,100.0,48.0,19.12
GTX0465.bin.32_k141,38.57,100.0,45.96,52.12,20.7,100.0,100.0,25.61,15.06
GTX0465.bin.6_k141,27.58,100.0,21.69,99.86,99.44,99.86,100.0,22.71,71.4
GTX0466.bin.15_k141,2.83,100.0,9.94,1.37,0.53,1.97,3.49,5.26,0.73
GTX0466.bin.17_k141,0.08,99.87,0.19,2.23,0.37,0.47,3.09,0.08,1.02
GTX0466.bin.23_k141,10.6,100.0,60.69,9.5,2.99,70.95,86.35,22.39,42.02
GTX0466.bin.25_k141,3.43,100.0,1.56,0.59,0.36,1.85,17.44,1.88,0.4
GTX0466.bin.27_k141,0.04,99.93,0.22,0.68,0.13,5.26,26.6,0.36,0.03
GTX0466.bin.31_k141,0.17,100.0,0.26,18.18,1.75,2.53,47.75,0.07,4.52
GTX0466.bin.44_k141,8.37,100.0,14.96,19.25,4.38,13.36,99.41,11.72,8.32
GTX0466.bin.47_k141,6.81,100.0,14.0,3.06,0.68,2.13,2.72,5.79,2.92
GTX0466.bin.55_k141,32.54,100.0,13.45,11.16,0.64,13.88,66.61,87.81,2.47
GTX0466.bin.56_k141,0.54,100.0,0.56,17.21,1.52,3.65,84.79,0.23,4.28
GTX0466.bin.67_k141,4.09,100.0,5.12,91.4,31.65,22.54,73.69,5.18,89.95
GTX0466.bin.69_k141,82.47,99.97,16.78,16.99,7.07,18.07,49.94,7.35,7.72
GTX0466.bin.6_k141,49.0,100.0,9.73,21.52,0.81,28.93,36.56,34.01,3.39
GTX0466.bin.71_k141,98.92,100.0,99.98,27.48,22.95,27.1,36.78,100.0,20.62
GTX0466.bin.74_k141,99.87,100.0,27.03,25.83,28.06,17.04,91.28,26.59,23.86
GTX0466.bin.75_k141,1.4,100.0,5.41,0.23,0.01,0.81,23.11,0.61,0.1
GTX0466.bin.79_k141,0.0,100.0,0.0,0.12,0.04,0.9,72.85,0.0,0.0
GTX0466.bin.7_k141,8.59,100.0,6.26,47.54,40.02,53.0,99.0,6.24,85.94
GTX0466.bin.81_k141,98.37,100.0,81.48,87.48,10.4,99.77,99.98,99.94,39.58
GTX0466.bin.9_k141,0.27,100.0,1.04,0.07,0.0,1.21,25.98,0.2,0.04
GTX0468.bin.12_k141,100.0,99.71,100.0,77.53,37.36,60.14,81.09,100.0,47.62
GTX0468.bin.14_k141,100.0,1.46,15.05,0.23,0.01,0.27,0.31,54.73,0.03
GTX0468.bin.17_k141,100.0,24.23,94.61,2.18,1.06,4.57,2.88,94.12,0.73
GTX0468.bin.19_k141,100.0,100.0,100.0,99.99,57.74,79.43,92.72,100.0,70.3
GTX0468.bin.22_k141,100.0,99.99,100.0,79.85,44.0,76.91,96.82,100.0,47.8
GTX0468.bin.23_k141,100.0,18.55,99.91,9.33,12.22,12.12,16.98,73.21,15.09
GTX0468.bin.25_k141,100.0,100.0,88.18,100.0,89.36,100.0,100.0,98.41,88.45
GTX0468.bin.26_k141,99.99,78.51,25.76,0.85,0.09,4.25,13.5,17.84,0.21
GTX0468.bin.2_k141,100.0,22.96,100.0,1.7,0.03,9.78,9.9,99.54,0.04
GTX0468.bin.37_k141,100.0,31.25,100.0,17.43,0.96,27.25,15.48,99.51,3.46
GTX0468.bin.3_k141,100.0,75.6,49.47,12.39,13.82,16.53,16.33,93.53,9.41
GTX0468.bin.44_k141,100.0,53.93,67.14,36.27,52.44,21.6,30.2,59.04,47.56
GTX0468.bin.45_k141,100.0,59.57,100.0,6.02,1.08,5.33,9.96,100.0,2.15
GTX0468.bin.47_k141,100.0,5.0,100.0,0.69,0.32,2.51,2.31,98.69,0.29
GTX0468.bin.49_k141,100.0,38.32,100.0,45.39,2.02,16.11,23.97,96.78,5.51
GTX0468.bin.4_k141,100.0,7.25,49.86,1.59,2.29,3.81,2.01,100.0,1.52
GTX0468.bin.50_k141,100.0,29.06,83.36,5.12,0.28,14.86,5.61,67.12,1.08
GTX0468.bin.53_k141,100.0,100.0,33.95,26.73,29.27,100.0,30.07,53.69,22.52
GTX0468.bin.59_k141,100.0,100.0,100.0,66.86,22.05,63.25,100.0,100.0,32.17
GTX0468.bin.60_k141,100.0,100.0,99.98,63.93,7.72,71.89,72.4,99.99,24.24
GTX0468.bin.63_k141,100.0,7.28,100.0,0.72,0.05,1.92,1.15,100.0,0.18
GTX0468.bin.68_k141,100.0,2.97,95.81,0.3,0.46,0.26,0.61,49.67,0.41
GTX0468.bin.6_k141,99.99,7.94,48.8,3.63,0.0,0.26,3.91,78.95,0.72
GTX0468.bin.72_k141,99.99,99.94,96.46,11.82,0.51,13.6,74.0,98.96,1.86
GTX0468.bin.76_k141,100.0,43.2,100.0,9.12,12.61,11.55,9.48,99.89,9.49
