Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	47	47
OG0000318	47	47
OG0000319	47	47
OG0000320	9	5
OG0000321	20	14
OG0000322	4	3
OG0000323	8	4
OG0000324	12	9
OG0000325	18	15
OG0000326	17	11
OG0000327	8	2
OG0000328	7	5
OG0000329	25	20
OG0000330	46	46
OG0000331	45	45
OG0000332	32	24
OG0000333	46	46
OG0000334	46	46
OG0000335	25	22
OG0000336	23	17
OG0000337	14	7
OG0000338	11	7
OG0000339	9	9
OG0000340	45	45
OG0000341	45	45
OG0000342	45	45
OG0000343	45	45
OG0000344	45	45
OG0000345	39	39
OG0000346	35	34
OG0000347	21	19
OG0000348	11	7
OG0000349	10	5
OG0000350	8	7
OG0000351	10	7
OG0000352	15	9
OG0000353	21	16
OG0000354	25	23
OG0000355	26	21
OG0000356	44	44
OG0000357	44	44
OG0000358	44	44
OG0000359	44	44
OG0000360	43	43
OG0000361	44	44
OG0000362	15	10
OG0000363	6	5
OG0000364	5	4
OG0000365	9	6
OG0000366	9	4
OG0000367	19	12
OG0000368	10	9
OG0000369	43	43
OG0000370	43	43
OG0000371	43	43
OG0000372	19	10
OG0000373	43	43
OG0000374	18	11
OG0000375	7	2
OG0000376	7	4
OG0000377	8	3
OG0000378	10	5
OG0000379	11	4
OG0000380	13	8
OG0000381	5	3
OG0000382	25	19
OG0000383	10	5
OG0000384	37	36
OG0000385	42	42
OG0000386	21	10
OG0000387	7	4
OG0000388	10	5
OG0000389	7	2
OG0000390	6	3
OG0000391	24	22
OG0000392	12	11
OG0000393	4	3
OG0000394	14	7
OG0000395	6	4
OG0000396	33	30
OG0000397	15	8
OG0000398	14	11
OG0000399	25	13
OG0000400	21	13
OG0000401	6	2
OG0000402	2	2
OG0000403	11	9
OG0000404	24	19
OG0000405	16	12
OG0000406	41	41
OG0000407	41	41
OG0000408	41	41
OG0000409	29	25
OG0000410	41	41
OG0000411	41	41
OG0000412	41	41
OG0000413	41	41
OG0000414	8	3
OG0000415	13	8
OG0000416	5	2
OG0000417	4	2
OG0000418	4	2
OG0000419	4	2
OG0000420	6	4
OG0000421	6	4
OG0000422	10	4
OG0000423	12	5
OG0000424	9	7
OG0000425	13	12
OG0000426	6	2
OG0000427	10	4
OG0000428	22	15
OG0000429	8	2
OG0000430	10	7
OG0000431	15	10
OG0000432	22	20
OG0000433	38	38
OG0000434	5	4
OG0000435	8	4
OG0000436	16	10
OG0000437	10	5
OG0000438	3	1
OG0000439	6	3
OG0000440	15	13
OG0000441	7	3
OG0000442	6	3
OG0000443	4	2
OG0000444	5	3
OG0000445	7	3
OG0000446	17	14
OG0000447	16	12
OG0000448	9	2
OG0000449	22	15
OG0000450	39	39
OG0000451	39	39
OG0000452	18	14
OG0000453	7	6
OG0000454	5	1
OG0000455	8	6
OG0000456	9	7
OG0000457	5	3
OG0000458	12	8
OG0000459	8	5
OG0000460	4	1
OG0000461	6	4
OG0000462	8	7
OG0000463	6	5
OG0000464	11	11
OG0000465	10	4
OG0000466	8	3
OG0000467	11	8
OG0000468	10	3
OG0000469	18	17
OG0000470	7	6
OG0000471	38	38
OG0000472	38	38
OG0000473	38	38
OG0000474	38	38
OG0000475	38	38
OG0000476	38	38
OG0000477	38	38
OG0000478	37	37
OG0000479	20	13
OG0000480	5	1
OG0000481	6	4
OG0000482	11	8
OG0000483	8	1
OG0000484	9	7
OG0000485	16	12
OG0000486	10	8
OG0000487	7	5
OG0000488	3	2
OG0000489	10	7
OG0000490	15	10
OG0000491	6	5
OG0000492	7	5
OG0000493	3	3
OG0000494	4	1
OG0000495	6	3
OG0000496	30	29
OG0000497	37	37
OG0000498	37	37
OG0000499	37	37
OG0000500	37	37
OG0000501	37	37
OG0000502	37	37
OG0000503	35	35
OG0000504	32	30
OG0000505	36	36
OG0000506	8	6
OG0000507	6	4
OG0000508	6	5
OG0000509	8	2
OG0000510	5	1
OG0000511	9	4
OG0000512	6	4
OG0000513	6	5
OG0000514	7	1
OG0000515	11	7
OG0000516	15	11
OG0000517	8	2
OG0000518	16	11
OG0000519	3	1
OG0000520	7	4
OG0000521	10	6
OG0000522	4	3
OG0000523	12	7
OG0000524	5	3
OG0000525	6	4
OG0000526	5	4
OG0000527	3	2
OG0000528	6	2
OG0000529	8	7
OG0000530	8	3
OG0000531	32	26
OG0000532	36	36
OG0000533	35	35
OG0000534	36	36
OG0000535	5	2
OG0000536	3	1
OG0000537	8	5
OG0000538	4	3
OG0000539	5	1
OG0000540	15	14
OG0000541	3	1
OG0000542	10	5
OG0000543	11	8
OG0000544	6	5
OG0000545	4	3
OG0000546	11	7
OG0000547	15	11
OG0000548	4	3
OG0000549	6	5
OG0000550	7	5
OG0000551	9	6
OG0000552	8	8
OG0000553	4	3
OG0000554	14	9
OG0000555	12	9
OG0000556	5	1
OG0000557	14	11
OG0000558	5	5
OG0000559	10	7
OG0000560	5	2
OG0000561	7	3
OG0000562	6	4
OG0000563	6	2
OG0000564	6	5
OG0000565	17	12
OG0000566	7	5
OG0000567	7	2
OG0000568	2	1
OG0000569	2	1
OG0000570	7	6
OG0000571	9	6
OG0000572	11	7
OG0000573	5	1
OG0000574	34	34
OG0000575	35	35
OG0000576	35	35
OG0000577	35	35
OG0000578	35	35
OG0000579	35	35
OG0000580	35	35
OG0000581	35	35
OG0000582	4	4
OG0000583	7	4
OG0000584	8	5
OG0000585	4	3
OG0000586	20	20
OG0000587	10	8
OG0000588	2	2
OG0000589	4	1
OG0000590	9	0
OG0000591	7	6
OG0000592	4	4
OG0000593	4	1
OG0000594	7	3
OG0000595	14	6
OG0000596	14	12
OG0000597	4	3
OG0000598	7	2
OG0000599	13	8
OG0000600	12	7
OG0000601	6	3
OG0000602	8	5
OG0000603	8	6
OG0000604	5	3
OG0000605	13	6
OG0000606	9	6
OG0000607	6	4
OG0000608	9	7
OG0000609	20	20
OG0000610	33	33
OG0000611	26	25
OG0000612	34	34
OG0000613	25	24
OG0000614	34	34
OG0000615	12	5
OG0000616	6	2
OG0000617	3	1
OG0000618	8	3
OG0000619	8	5
OG0000620	11	4
OG0000621	4	3
OG0000622	12	10
OG0000623	5	1
OG0000624	8	7
OG0000625	6	2
OG0000626	4	3
OG0000627	5	4
OG0000628	11	9
OG0000629	11	9
OG0000630	11	2
OG0000631	7	5
OG0000632	5	4
OG0000633	5	4
OG0000634	7	1
OG0000635	4	3
OG0000636	13	8
OG0000637	6	2
OG0000638	6	2
OG0000639	12	7
OG0000640	7	6
OG0000641	3	2
OG0000642	21	21
OG0000643	8	7
OG0000644	5	4
OG0000645	5	4
OG0000646	7	3
OG0000647	5	4
OG0000648	2	1
OG0000649	8	4
OG0000650	8	6
OG0000651	4	3
OG0000652	10	6
OG0000653	8	5
OG0000654	5	5
OG0000655	4	3
OG0000656	3	3
OG0000657	10	7
OG0000658	6	4
OG0000659	6	4
OG0000660	32	32
OG0000661	33	33
OG0000662	33	33
OG0000663	33	33
OG0000664	33	33
OG0000665	4	3
OG0000666	7	6
OG0000667	3	3
OG0000668	5	4
OG0000669	5	4
OG0000670	5	4
OG0000671	3	3
OG0000672	3	3
OG0000673	14	12
OG0000674	9	3
OG0000675	10	5
OG0000676	5	4
OG0000677	9	8
OG0000678	4	3
OG0000679	13	6
OG0000680	3	3
OG0000681	5	3
OG0000682	7	3
OG0000683	5	2
OG0000684	14	11
OG0000685	6	5
OG0000686	10	7
OG0000687	7	3
OG0000688	4	4
OG0000689	6	4
OG0000690	4	3
OG0000691	11	8
OG0000692	13	9
OG0000693	3	1
OG0000694	11	6
OG0000695	24	24
OG0000696	17	15
OG0000697	32	32
OG0000698	31	31
OG0000699	16	13
OG0000700	17	9
OG0000701	20	15
OG0000702	4	3
OG0000703	9	7
OG0000704	9	8
OG0000705	6	5
OG0000706	6	3
OG0000707	5	4
OG0000708	4	3
OG0000709	2	1
OG0000710	3	1
OG0000711	5	3
OG0000712	3	2
OG0000713	3	2
OG0000714	7	7
OG0000715	13	9
OG0000716	3	1
OG0000717	7	1
OG0000718	6	6
OG0000719	4	3
OG0000720	6	3
OG0000721	4	4
OG0000722	7	3
OG0000723	3	1
OG0000724	4	3
OG0000725	5	4
OG0000726	9	4
OG0000727	4	4
OG0000728	5	3
OG0000729	8	6
OG0000730	10	9
OG0000731	6	6
OG0000732	2	2
OG0000733	3	2
OG0000734	7	5
OG0000735	8	7
OG0000736	6	4
OG0000737	3	2
OG0000738	6	2
OG0000739	5	3
OG0000740	4	1
OG0000741	9	7
OG0000742	4	3
OG0000743	1	1
OG0000744	8	6
OG0000745	7	3
OG0000746	4	1
OG0000747	7	4
OG0000748	8	5
OG0000749	8	4
OG0000750	2	1
OG0000751	3	2
OG0000752	9	6
OG0000753	9	7
OG0000754	6	4
OG0000755	5	1
OG0000756	9	8
OG0000757	5	2
OG0000758	31	31
OG0000759	14	12
OG0000760	31	31
OG0000761	31	31
OG0000762	31	31
OG0000763	31	31
OG0000764	31	31
OG0000765	31	31
OG0000766	31	31
OG0000767	31	31
OG0000768	16	11
OG0000769	9	3
OG0000770	10	5
OG0000771	4	2
OG0000772	4	4
OG0000773	4	2
OG0000774	6	5
OG0000775	10	5
OG0000776	3	1
OG0000777	9	8
OG0000778	8	4
OG0000779	3	1
OG0000780	3	2
OG0000781	8	6
OG0000782	3	2
OG0000783	3	1
OG0000784	9	4
OG0000785	8	4
OG0000786	3	3
OG0000787	5	3
OG0000788	13	11
OG0000789	6	4
OG0000790	5	2
OG0000791	6	4
OG0000792	5	1
OG0000793	9	2
OG0000794	10	8
OG0000795	7	7
OG0000796	10	8
OG0000797	5	3
OG0000798	9	8
OG0000799	7	0
OG0000800	10	9
OG0000801	10	9
OG0000802	2	1
OG0000803	2	1
OG0000804	3	1
OG0000805	6	0
OG0000806	8	3
OG0000807	6	3
OG0000808	4	1
OG0000809	9	7
OG0000810	6	2
OG0000811	3	1
OG0000812	5	2
OG0000813	8	8
OG0000814	4	3
OG0000815	6	1
OG0000816	1	1
OG0000817	16	13
OG0000818	6	2
OG0000819	3	2
OG0000820	8	2
OG0000821	3	1
OG0000822	26	26
OG0000823	27	25
OG0000824	16	13
OG0000825	30	30
OG0000826	30	30
OG0000827	30	30
OG0000828	30	30
OG0000829	29	29
OG0000830	30	30
OG0000831	30	30
OG0000832	15	12
OG0000833	30	30
OG0000834	4	1
OG0000835	3	3
OG0000836	16	14
OG0000837	10	9
OG0000838	7	6
OG0000839	8	2
OG0000840	3	2
OG0000841	3	1
OG0000842	14	14
OG0000843	3	2
OG0000844	10	6
OG0000845	5	3
OG0000846	5	2
OG0000847	5	4
OG0000848	3	2
OG0000849	8	2
OG0000850	14	12
OG0000851	6	5
OG0000852	3	3
OG0000853	1	1
OG0000854	5	3
OG0000855	13	11
OG0000856	3	2
OG0000857	4	2
OG0000858	8	6
OG0000859	2	2
OG0000860	12	10
OG0000861	8	6
OG0000862	1	1
OG0000863	8	4
OG0000864	2	2
OG0000865	6	6
OG0000866	8	7
OG0000867	7	6
OG0000868	7	4
OG0000869	9	7
OG0000870	8	6
OG0000871	6	2
OG0000872	3	3
OG0000873	7	4
OG0000874	3	1
OG0000875	5	5
OG0000876	10	9
OG0000877	5	2
OG0000878	6	2
OG0000879	4	0
OG0000880	29	29
OG0000881	29	29
OG0000882	21	21
OG0000883	23	20
OG0000884	13	9
OG0000885	27	27
OG0000886	29	29
OG0000887	29	29
OG0000888	29	29
OG0000889	29	29
OG0000890	23	23
OG0000891	28	28
OG0000892	22	19
OG0000893	29	29
OG0000894	29	29
OG0000895	7	6
OG0000896	9	7
OG0000897	9	2
OG0000898	5	3
OG0000899	5	4
OG0000900	7	4
OG0000901	6	5
OG0000902	1	1
OG0000903	12	11
OG0000904	7	4
OG0000905	5	1
OG0000906	3	1
OG0000907	8	3
OG0000908	5	3
OG0000909	5	1
OG0000910	8	0
OG0000911	5	4
OG0000912	6	3
OG0000913	2	2
OG0000914	3	1
OG0000915	6	4
OG0000916	10	7
OG0000917	7	5
OG0000918	5	2
OG0000919	2	2
OG0000920	3	2
OG0000921	17	16
OG0000922	10	0
OG0000923	3	2
OG0000924	3	1
OG0000925	5	4
OG0000926	4	1
OG0000927	5	2
OG0000928	6	1
OG0000929	5	4
OG0000930	7	2
OG0000931	8	5
OG0000932	4	2
OG0000933	14	9
OG0000934	2	2
OG0000935	9	4
OG0000936	9	4
OG0000937	4	1
OG0000938	6	2
OG0000939	7	4
OG0000940	5	2
OG0000941	5	2
OG0000942	5	1
OG0000943	2	1
OG0000944	8	5
OG0000945	4	3
OG0000946	12	11
OG0000947	16	15
OG0000948	6	1
OG0000949	6	3
OG0000950	8	7
OG0000951	14	8
OG0000952	6	6
OG0000953	12	9
OG0000954	6	2
OG0000955	6	3
OG0000956	10	3
OG0000957	7	3
OG0000958	4	1
OG0000959	17	13
OG0000960	5	2
OG0000961	5	2
OG0000962	8	7
OG0000963	10	8
OG0000964	18	16
OG0000965	28	28
OG0000966	14	10
OG0000967	28	28
OG0000968	28	28
OG0000969	28	28
OG0000970	28	28
OG0000971	28	28
OG0000972	28	28
OG0000973	23	23
OG0000974	28	28
OG0000975	28	28
OG0000976	7	4
OG0000977	8	8
OG0000978	3	1
OG0000979	4	2
OG0000980	7	4
OG0000981	2	2
OG0000982	11	9
OG0000983	7	3
OG0000984	3	2
OG0000985	8	5
OG0000986	6	3
OG0000987	7	6
OG0000988	7	4
OG0000989	24	24
OG0000990	6	3
OG0000991	11	7
OG0000992	6	5
OG0000993	7	4
OG0000994	5	5
OG0000995	6	2
OG0000996	14	12
OG0000997	5	4
OG0000998	5	4
OG0000999	5	2
OG0001000	5	3
OG0001001	4	2
OG0001002	4	2
OG0001003	5	2
OG0001004	5	3
OG0001005	7	1
OG0001006	4	2
OG0001007	7	2
OG0001008	5	2
OG0001009	11	8
OG0001010	4	3
OG0001011	6	3
OG0001012	9	2
OG0001013	5	4
OG0001014	6	1
OG0001015	7	2
OG0001016	5	2
OG0001017	8	4
OG0001018	5	2
OG0001019	8	5
OG0001020	10	10
OG0001021	7	5
OG0001022	8	3
OG0001023	10	10
OG0001024	2	1
OG0001025	6	1
OG0001026	6	2
OG0001027	6	2
OG0001028	10	3
OG0001029	3	1
OG0001030	7	5
OG0001031	8	5
OG0001032	8	3
OG0001033	8	4
OG0001034	2	2
OG0001035	25	25
OG0001036	2	1
OG0001037	8	7
OG0001038	4	4
OG0001039	7	3
OG0001040	10	6
OG0001041	11	9
OG0001042	8	1
OG0001043	7	5
OG0001044	21	21
OG0001045	27	27
OG0001046	27	27
OG0001047	27	27
OG0001048	27	27
OG0001049	27	27
OG0001050	27	27
OG0001051	27	27
OG0001052	25	25
OG0001053	14	11
OG0001054	27	27
OG0001055	4	1
OG0001056	4	1
OG0001057	9	8
OG0001058	4	2
OG0001059	2	2
OG0001060	6	1
OG0001061	1	1
OG0001062	12	11
OG0001063	3	3
OG0001064	10	1
OG0001065	9	7
OG0001066	3	3
OG0001067	5	0
OG0001068	6	2
OG0001069	15	10
OG0001070	3	2
OG0001071	5	2
OG0001072	24	24
OG0001073	6	4
OG0001074	10	6
OG0001075	10	8
OG0001076	2	2
OG0001077	8	6
OG0001078	4	2
OG0001079	3	2
OG0001080	6	3
OG0001081	5	0
OG0001082	1	1
OG0001083	3	1
OG0001084	10	10
OG0001085	11	10
OG0001086	5	0
OG0001087	5	3
OG0001088	4	3
OG0001089	6	2
OG0001090	2	1
OG0001091	4	3
OG0001092	8	1
OG0001093	5	1
OG0001094	8	3
OG0001095	5	1
OG0001096	7	6
OG0001097	5	4
OG0001098	8	6
OG0001099	5	2
OG0001100	6	1
OG0001101	6	3
OG0001102	13	8
OG0001103	6	5
OG0001104	5	1
OG0001105	4	3
OG0001106	6	6
OG0001107	9	6
OG0001108	5	2
OG0001109	8	3
OG0001110	7	3
OG0001111	6	3
OG0001112	3	1
OG0001113	8	4
OG0001114	4	1
OG0001115	6	4
OG0001116	4	0
OG0001117	6	4
OG0001118	8	3
OG0001119	4	2
OG0001120	8	7
OG0001121	8	4
OG0001122	11	4
OG0001123	5	2
OG0001124	3	0
OG0001125	10	6
OG0001126	9	3
OG0001127	20	18
OG0001128	26	26
OG0001129	26	26
OG0001130	26	26
OG0001131	25	25
OG0001132	22	20
OG0001133	26	26
OG0001134	20	20
OG0001135	13	8
OG0001136	26	26
OG0001137	2	2
OG0001138	9	9
OG0001139	18	14
OG0001140	5	2
OG0001141	9	7
OG0001142	5	4
OG0001143	2	1
OG0001144	4	2
OG0001145	5	3
OG0001146	7	1
OG0001147	8	0
OG0001148	4	4
OG0001149	3	0
OG0001150	3	2
OG0001151	1	1
OG0001152	8	7
OG0001153	9	6
OG0001154	7	4
OG0001155	2	2
OG0001156	4	3
OG0001157	2	1
OG0001158	4	2
OG0001159	4	1
OG0001160	11	6
OG0001161	5	1
OG0001162	7	1
OG0001163	10	8
OG0001164	7	1
OG0001165	3	2
OG0001166	2	1
OG0001167	8	6
OG0001168	10	3
OG0001169	5	1
OG0001170	7	4
OG0001171	6	3
OG0001172	7	4
OG0001173	6	4
OG0001174	3	1
OG0001175	4	1
OG0001176	9	3
OG0001177	4	0
OG0001178	5	4
OG0001179	2	2
OG0001180	2	2
OG0001181	6	5
OG0001182	5	4
OG0001183	3	3
OG0001184	6	5
OG0001185	6	1
OG0001186	2	0
OG0001187	3	0
OG0001188	11	8
OG0001189	6	2
OG0001190	7	7
OG0001191	5	0
OG0001192	6	4
OG0001193	11	10
OG0001194	3	1
OG0001195	7	4
OG0001196	6	4
OG0001197	7	1
OG0001198	2	0
OG0001199	13	13
OG0001200	7	6
OG0001201	8	2
OG0001202	8	6
OG0001203	9	7
OG0001204	5	2
OG0001205	7	3
OG0001206	5	4
OG0001207	5	1
OG0001208	6	4
OG0001209	3	0
OG0001210	6	3
OG0001211	7	4
OG0001212	5	3
OG0001213	6	1
OG0001214	8	6
OG0001215	6	2
OG0001216	14	11
OG0001217	4	3
OG0001218	5	2
OG0001219	3	2
OG0001220	5	4
OG0001221	4	1
OG0001222	7	4
OG0001223	16	15
OG0001224	25	25
OG0001225	25	25
OG0001226	25	25
OG0001227	10	7
OG0001228	25	25
OG0001229	25	25
OG0001230	25	25
OG0001231	25	25
OG0001232	25	25
OG0001233	25	25
OG0001234	25	25
OG0001235	24	24
OG0001236	25	25
OG0001237	25	25
OG0001238	25	25
OG0001239	24	24
OG0001240	21	20
OG0001241	3	1
OG0001242	7	5
OG0001243	5	1
OG0001244	5	3
OG0001245	5	3
OG0001246	1	1
OG0001247	10	7
OG0001248	6	5
OG0001249	1	1
OG0001250	3	1
OG0001251	4	2
OG0001252	6	0
OG0001253	8	8
OG0001254	4	3
OG0001255	4	3
OG0001256	8	6
OG0001257	5	4
OG0001258	6	1
OG0001259	9	4
OG0001260	6	4
OG0001261	8	3
OG0001262	3	1
OG0001263	4	0
OG0001264	4	2
OG0001265	5	3
OG0001266	7	5
OG0001267	4	3
OG0001268	9	5
OG0001269	3	1
OG0001270	3	1
OG0001271	4	2
OG0001272	6	5
OG0001273	6	2
OG0001274	3	2
OG0001275	5	5
OG0001276	2	1
OG0001277	4	2
OG0001278	1	1
OG0001279	6	4
OG0001280	4	3
OG0001281	3	2
OG0001282	18	18
OG0001283	6	4
OG0001284	11	9
OG0001285	2	1
OG0001286	3	1
OG0001287	1	1
OG0001288	5	0
OG0001289	1	0
OG0001290	6	3
OG0001291	2	1
OG0001292	3	0
OG0001293	7	6
OG0001294	6	5
OG0001295	4	1
OG0001296	4	3
OG0001297	5	3
OG0001298	3	1
OG0001299	9	5
OG0001300	4	1
OG0001301	6	5
OG0001302	2	1
OG0001303	7	6
OG0001304	8	8
OG0001305	8	5
OG0001306	4	3
OG0001307	5	1
OG0001308	5	3
OG0001309	9	5
OG0001310	4	1
OG0001311	6	5
OG0001312	4	2
OG0001313	6	4
OG0001314	5	4
OG0001315	2	1
OG0001316	4	1
OG0001317	4	0
OG0001318	3	0
OG0001319	7	5
OG0001320	6	1
OG0001321	2	1
OG0001322	5	1
OG0001323	7	4
OG0001324	4	0
OG0001325	2	1
OG0001326	15	14
OG0001327	7	5
OG0001328	4	3
OG0001329	8	5
OG0001330	15	14
OG0001331	24	24
OG0001332	9	7
OG0001333	24	24
OG0001334	24	24
OG0001335	24	24
OG0001336	24	24
OG0001337	24	24
OG0001338	24	24
OG0001339	24	24
OG0001340	24	24
OG0001341	24	24
OG0001342	13	10
OG0001343	24	24
OG0001344	5	4
OG0001345	15	10
OG0001346	4	3
OG0001347	10	8
OG0001348	4	1
OG0001349	7	3
OG0001350	4	4
OG0001351	6	5
OG0001352	6	3
OG0001353	8	6
OG0001354	5	4
OG0001355	3	1
OG0001356	2	1
OG0001357	3	2
OG0001358	7	6
OG0001359	5	1
OG0001360	4	3
OG0001361	4	1
OG0001362	5	0
OG0001363	2	2
OG0001364	3	1
OG0001365	3	1
OG0001366	4	0
OG0001367	9	7
OG0001368	9	5
OG0001369	4	1
OG0001370	5	2
OG0001371	5	0
OG0001372	4	1
OG0001373	6	2
OG0001374	5	3
OG0001375	6	4
OG0001376	5	4
OG0001377	6	4
OG0001378	5	2
OG0001379	2	1
OG0001380	3	0
OG0001381	6	3
OG0001382	2	0
OG0001383	11	8
OG0001384	7	5
OG0001385	5	3
OG0001386	4	1
OG0001387	6	3
OG0001388	8	3
OG0001389	5	3
OG0001390	7	6
OG0001391	4	2
