Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	27	14
OG0000318	15	7
OG0000319	10	4
OG0000320	10	2
OG0000321	9	3
OG0000322	17	4
OG0000323	6	3
OG0000324	43	34
OG0000325	37	21
OG0000326	54	37
OG0000327	10	5
OG0000328	27	14
OG0000329	15	10
OG0000330	69	56
OG0000331	17	5
OG0000332	13	8
OG0000333	21	2
OG0000334	19	8
OG0000335	51	29
OG0000336	13	7
OG0000337	14	5
OG0000338	9	6
OG0000339	26	7
OG0000340	43	26
OG0000341	20	2
OG0000342	4	2
OG0000343	34	27
OG0000344	13	8
OG0000345	5	2
OG0000346	3	1
OG0000347	15	7
OG0000348	10	3
OG0000349	7	4
OG0000350	23	4
OG0000351	25	13
OG0000352	15	7
OG0000353	30	5
OG0000354	74	62
OG0000355	15	5
OG0000356	29	15
OG0000357	23	4
OG0000358	8	3
OG0000359	11	5
OG0000360	14	2
OG0000361	5	3
OG0000362	6	3
OG0000363	17	7
OG0000364	14	4
OG0000365	15	7
OG0000366	4	2
OG0000367	4	2
OG0000368	6	2
OG0000369	21	3
OG0000370	9	5
OG0000371	42	34
OG0000372	5	2
OG0000373	13	6
OG0000374	7	3
OG0000375	19	6
OG0000376	14	5
OG0000377	26	17
OG0000378	11	7
OG0000379	49	31
OG0000380	13	5
OG0000381	3	1
OG0000382	21	7
OG0000383	25	7
OG0000384	15	3
OG0000385	26	14
OG0000386	2	1
OG0000387	28	14
OG0000388	6	5
OG0000389	7	1
OG0000390	11	7
OG0000391	28	10
OG0000392	6	3
OG0000393	1	1
OG0000394	8	4
OG0000395	18	2
OG0000396	30	14
OG0000397	12	6
OG0000398	7	1
OG0000399	5	4
OG0000400	22	13
OG0000401	20	17
OG0000402	12	3
OG0000403	15	8
OG0000404	15	5
OG0000405	16	4
OG0000406	18	4
OG0000407	6	2
OG0000408	3	2
OG0000409	4	2
OG0000410	99	99
OG0000411	11	4
OG0000412	15	5
OG0000413	8	5
OG0000414	3	2
OG0000415	9	2
OG0000416	2	1
OG0000417	14	6
OG0000418	7	3
OG0000419	47	33
OG0000420	15	5
OG0000421	13	1
OG0000422	3	2
OG0000423	3	1
OG0000424	8	5
OG0000425	5	1
OG0000426	9	4
OG0000427	6	3
OG0000428	25	8
OG0000429	6	3
OG0000430	63	52
OG0000431	28	19
OG0000432	5	1
OG0000433	27	2
OG0000434	14	3
OG0000435	2	2
OG0000436	27	17
OG0000437	2	2
OG0000438	7	2
OG0000439	9	3
OG0000440	2	2
OG0000441	38	21
OG0000442	10	3
OG0000443	2	2
OG0000444	14	2
OG0000445	17	1
OG0000446	3	1
OG0000447	22	8
OG0000448	7	4
OG0000449	17	5
OG0000450	5	3
OG0000451	18	4
OG0000452	17	10
OG0000453	1	1
OG0000454	12	9
OG0000455	4	2
OG0000456	5	2
OG0000457	12	2
OG0000458	20	7
OG0000459	19	6
OG0000460	24	10
OG0000461	16	10
OG0000462	11	4
OG0000463	14	5
OG0000464	22	4
OG0000465	45	34
OG0000466	7	3
OG0000467	27	13
OG0000468	6	1
OG0000469	23	6
OG0000470	16	10
OG0000471	24	11
OG0000472	6	3
OG0000473	25	6
OG0000474	18	9
OG0000475	3	1
OG0000476	5	4
OG0000477	6	5
OG0000478	77	71
OG0000479	18	9
OG0000480	9	1
OG0000481	3	3
OG0000482	11	4
OG0000483	8	5
OG0000484	4	3
OG0000485	9	3
OG0000486	10	6
OG0000487	25	9
OG0000488	15	9
OG0000489	21	5
OG0000490	24	6
OG0000491	17	10
OG0000492	7	4
OG0000493	6	2
OG0000494	18	8
OG0000495	3	1
OG0000496	6	1
OG0000497	25	16
OG0000498	12	3
OG0000499	2	1
OG0000500	11	5
OG0000501	23	12
OG0000502	2	1
OG0000503	22	7
OG0000504	6	1
OG0000505	12	5
OG0000506	7	2
OG0000507	29	15
OG0000508	89	89
OG0000509	9	1
OG0000510	2	2
OG0000511	4	4
OG0000512	41	30
OG0000513	3	3
OG0000514	24	10
OG0000515	15	4
OG0000516	15	9
OG0000517	38	24
OG0000518	14	3
OG0000519	10	3
OG0000520	12	5
OG0000521	7	1
OG0000522	4	2
OG0000523	19	3
OG0000524	31	24
OG0000525	22	14
OG0000526	20	13
OG0000527	3	3
OG0000528	7	2
OG0000529	20	10
OG0000530	3	2
OG0000531	8	4
OG0000532	10	8
OG0000533	23	19
OG0000534	2	2
OG0000535	23	6
OG0000536	2	2
OG0000537	13	5
OG0000538	11	1
OG0000539	19	11
OG0000540	16	6
OG0000541	5	2
OG0000542	37	24
OG0000543	2	1
OG0000544	22	5
OG0000545	6	3
OG0000546	17	10
OG0000547	21	5
OG0000548	8	2
OG0000549	4	2
OG0000550	16	2
OG0000551	2	2
OG0000552	3	1
OG0000553	43	36
OG0000554	46	36
OG0000555	20	7
OG0000556	3	3
OG0000557	12	3
OG0000558	5	1
OG0000559	8	0
OG0000560	13	2
OG0000561	13	5
OG0000562	37	27
OG0000563	11	9
OG0000564	3	1
OG0000565	11	2
OG0000566	27	12
OG0000567	9	6
OG0000568	23	7
OG0000569	7	3
OG0000570	21	3
OG0000571	10	5
OG0000572	17	9
OG0000573	8	2
OG0000574	10	4
OG0000575	21	7
OG0000576	6	4
OG0000577	17	6
OG0000578	19	16
OG0000579	23	19
OG0000580	13	6
OG0000581	12	4
OG0000582	2	1
OG0000583	10	3
OG0000584	27	19
OG0000585	10	1
OG0000586	22	2
OG0000587	22	4
OG0000588	20	10
OG0000589	5	2
OG0000590	10	3
OG0000591	18	5
OG0000592	7	3
OG0000593	6	2
OG0000594	2	2
OG0000595	82	82
OG0000596	23	13
OG0000597	11	5
OG0000598	7	3
OG0000599	2	1
OG0000600	5	4
OG0000601	3	1
OG0000602	1	1
OG0000603	12	1
OG0000604	19	9
OG0000605	11	4
OG0000606	7	1
OG0000607	10	1
OG0000608	12	2
OG0000609	5	1
OG0000610	10	3
OG0000611	15	4
OG0000612	7	1
OG0000613	30	11
OG0000614	14	4
OG0000615	3	3
OG0000616	17	6
OG0000617	21	15
OG0000618	50	36
OG0000619	4	1
OG0000620	20	8
OG0000621	3	1
OG0000622	10	3
OG0000623	21	9
OG0000624	12	4
OG0000625	25	7
OG0000626	4	4
OG0000627	42	36
OG0000628	1	1
OG0000629	64	60
OG0000630	20	8
OG0000631	5	1
OG0000632	27	13
OG0000633	22	8
OG0000634	20	11
OG0000635	19	9
OG0000636	15	8
OG0000637	6	3
OG0000638	19	8
OG0000639	33	22
OG0000640	22	6
OG0000641	25	11
OG0000642	21	19
OG0000643	10	6
OG0000644	17	9
OG0000645	13	3
OG0000646	15	5
OG0000647	17	12
OG0000648	13	6
OG0000649	10	6
OG0000650	19	8
OG0000651	25	5
OG0000652	6	3
OG0000653	10	4
OG0000654	5	0
OG0000655	11	3
OG0000656	18	3
OG0000657	12	2
OG0000658	7	1
OG0000659	4	1
OG0000660	13	7
OG0000661	14	5
OG0000662	6	1
OG0000663	31	18
OG0000664	6	2
OG0000665	14	5
OG0000666	6	0
OG0000667	13	1
OG0000668	7	4
OG0000669	3	1
OG0000670	10	2
OG0000671	3	1
OG0000672	12	9
OG0000673	7	1
OG0000674	5	1
OG0000675	3	2
OG0000676	4	2
OG0000677	2	2
OG0000678	3	3
OG0000679	16	7
OG0000680	76	76
OG0000681	21	4
OG0000682	9	5
OG0000683	16	3
OG0000684	9	3
OG0000685	9	6
OG0000686	9	2
OG0000687	22	7
OG0000688	6	1
OG0000689	14	4
OG0000690	10	3
OG0000691	6	1
OG0000692	11	4
OG0000693	19	9
OG0000694	14	2
OG0000695	8	2
OG0000696	8	1
OG0000697	15	2
OG0000698	12	3
OG0000699	15	3
OG0000700	2	1
OG0000701	6	2
OG0000702	12	8
OG0000703	10	4
OG0000704	22	14
OG0000705	9	4
OG0000706	8	2
OG0000707	7	4
OG0000708	4	1
OG0000709	9	2
OG0000710	6	1
OG0000711	8	1
OG0000712	6	4
OG0000713	18	9
OG0000714	10	3
OG0000715	6	0
OG0000716	10	3
OG0000717	20	6
OG0000718	28	14
OG0000719	74	74
OG0000720	16	6
OG0000721	11	4
OG0000722	14	6
OG0000723	10	2
OG0000724	9	4
OG0000725	5	0
OG0000726	11	4
OG0000727	16	7
OG0000728	7	2
OG0000729	7	3
OG0000730	21	12
OG0000731	57	51
OG0000732	21	13
OG0000733	4	0
OG0000734	10	3
OG0000735	12	3
OG0000736	7	1
OG0000737	6	2
OG0000738	9	2
OG0000739	10	6
OG0000740	7	2
OG0000741	12	4
OG0000742	12	4
OG0000743	9	5
OG0000744	20	8
OG0000745	4	1
OG0000746	8	2
OG0000747	7	3
OG0000748	4	2
OG0000749	8	2
OG0000750	21	20
OG0000751	7	3
OG0000752	10	3
OG0000753	5	1
OG0000754	3	1
OG0000755	22	7
OG0000756	30	20
OG0000757	15	1
OG0000758	14	2
OG0000759	4	2
OG0000760	6	3
OG0000761	18	13
OG0000762	9	5
OG0000763	11	9
OG0000764	13	5
OG0000765	22	15
OG0000766	8	5
OG0000767	11	6
OG0000768	23	13
OG0000769	6	0
OG0000770	11	1
OG0000771	17	7
OG0000772	16	3
OG0000773	9	5
OG0000774	12	4
OG0000775	11	4
OG0000776	16	8
OG0000777	4	0
OG0000778	9	0
OG0000779	9	4
OG0000780	8	2
OG0000781	3	0
OG0000782	14	13
OG0000783	7	5
OG0000784	14	4
OG0000785	6	0
OG0000786	1	1
OG0000787	16	11
OG0000788	5	3
OG0000789	13	5
OG0000790	31	23
OG0000791	6	0
OG0000792	2	0
OG0000793	5	1
OG0000794	4	1
OG0000795	8	6
OG0000796	3	0
OG0000797	28	17
OG0000798	1	0
OG0000799	14	10
OG0000800	5	2
OG0000801	14	7
OG0000802	24	15
OG0000803	1	0
OG0000804	15	2
OG0000805	13	6
OG0000806	7	1
OG0000807	17	8
OG0000808	16	11
OG0000809	20	9
OG0000810	3	0
OG0000811	10	4
OG0000812	22	5
OG0000813	8	4
OG0000814	13	3
OG0000815	13	9
OG0000816	15	6
OG0000817	20	7
OG0000818	7	0
OG0000819	19	11
OG0000820	11	3
OG0000821	3	0
OG0000822	5	1
OG0000823	4	1
OG0000824	4	1
OG0000825	16	9
OG0000826	16	6
OG0000827	29	19
OG0000828	47	38
OG0000829	68	68
OG0000830	23	15
OG0000831	4	1
OG0000832	8	3
OG0000833	4	2
OG0000834	16	8
OG0000835	5	1
OG0000836	6	1
OG0000837	12	6
OG0000838	3	0
OG0000839	5	3
OG0000840	10	6
OG0000841	33	23
OG0000842	24	10
OG0000843	9	3
OG0000844	14	5
OG0000845	13	4
OG0000846	8	4
OG0000847	7	2
OG0000848	7	5
OG0000849	3	2
OG0000850	11	0
