genome,score
GTX0465.bin.21.fa,93.23499792576531
GTX0466.bin.35.fa,91.00337617867001
GTX0468.bin.24.fa,98.12815504758336
GTX0481.bin.18.fa,89.03867771145178
GTX0484.bin.40.fa,88.65155167752337
GTX0486_487.bin.46.fa,89.83398154526756
GTX0493.bin.28.fa,94.70124299136327
GTX0494.bin.19.fa,99.09310809926552
GTX0491.bin.13.fa,87.09600500647424
GTX0481.bin.1.fa,88.92572913005326
GTX0486_487.bin.12.fa,70.41327390670736
GTX0466.bin.15.fa,102.47314675973027
GTX0466.bin.12.fa,88.08613284276915
GTX0481.bin.6.fa,96.68622382860153
GTX0466.bin.19.fa,60.96963479316936
GTX0486_487.bin.83.fa,96.64258802239847
GTX0466.bin.17.fa,71.56369481067605
GTX0468.bin.23.fa,79.12864746799005
GTX0468.bin.47.fa,52.00887256463479
GTX0484.bin.25.fa,99.8065015457606
GTX0466.bin.83.fa,59.334510360241836
GTX0468.bin.2.fa,90.40210383150509
GTX0486_487.bin.41.fa,70.92798995707011
GTX0468.bin.63.fa,98.86496402685816
GTX0486_487.bin.31.fa,70.43432291945355
GTX0491.bin.9.fa,63.81362672904504
GTX0468.bin.15.fa,82.45713422860483
GTX0486_487.bin.96.fa,98.4928378617563
GTX0486_487.bin.21.fa,97.83527891392299
GTX0466.bin.75.fa,94.82935775674517
GTX0486_487.bin.66.fa,67.12722368926124
GTX0466.bin.31.fa,69.15670106461593
GTX0466.bin.56.fa,58.72948011426377
GTX0481.bin.9.fa,74.26571772746357
GTX0466.bin.32.fa,84.39256278454411
GTX0484.bin.13.fa,94.41582564939158
GTX0466.bin.39.fa,84.64504079447833
GTX0484.bin.18.fa,92.2695721682715
GTX0486_487.bin.100.fa,98.1553373402876
GTX0493.bin.23.fa,68.07740971809709
GTX0494.bin.15.fa,66.78934427237405
GTX0466.bin.29.fa,61.62390991390829
GTX0468.bin.53.fa,67.89509579028766
GTX0465.bin.1.fa,69.76471199630708
GTX0466.bin.21.fa,56.7137085337726
GTX0466.merged.0.fa,69.54709193028611
GTX0491.bin.33.fa,63.4261769350868
GTX0481.bin.29.fa,77.24692321342613
GTX0493.bin.7.fa,86.93208226234267
