DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Differentially Expressed
COLOR,#ff0000
FIELD_LABELS,Upregulated in lichen,Upregulated in culture
FIELD_SHAPES,4,5
FIELD_COLORS,#F8766D,#00B6EB
DATA
FUN_005492-T1,-1,-1
FUN_005514-T1,-1,-1
FUN_005533-T1,1,-1
FUN_005540-T1,-1,-1
FUN_005564-T1,-1,-1
FUN_005629-T1,1,-1
FUN_005641-T1,1,-1
FUN_005656-T1,-1,-1
FUN_005657-T1,-1,-1
FUN_005664-T1,-1,1
FUN_005675-T1,1,-1
FUN_005691-T1,-1,1
FUN_005696-T1,-1,-1
FUN_005715-T1,1,-1
FUN_005716-T1,-1,-1
FUN_005748-T1,-1,-1
FUN_005768-T1,-1,-1
FUN_005771-T1,1,-1
FUN_005784-T1,-1,-1
FUN_005800-T1,-1,-1
FUN_005809-T1,-1,-1
FUN_005822-T1,-1,-1
FUN_005824-T1,-1,-1
FUN_005856-T1,-1,-1
FUN_005892-T1,-1,-1
FUN_006050-T1,-1,-1
FUN_006142-T1,1,-1
FUN_006194-T1,1,-1
FUN_006220-T1,-1,-1
FUN_006257-T1,1,-1
FUN_006265-T1,-1,-1
FUN_006270-T1,-1,-1
FUN_006271-T1,-1,-1
FUN_006272-T1,-1,-1
FUN_006283-T1,1,-1
FUN_006290-T1,-1,-1
FUN_006291-T1,1,-1
FUN_006292-T1,1,-1
FUN_006312-T1,-1,-1
FUN_006348-T1,-1,-1
FUN_006349-T1,1,-1
FUN_006379-T1,-1,-1
FUN_006381-T1,-1,-1
FUN_006382-T1,1,-1
FUN_006429-T1,-1,-1
FUN_006534-T1,-1,-1
FUN_006631-T1,-1,-1
FUN_006635-T1,-1,-1
FUN_006687-T1,-1,-1
FUN_006694-T1,-1,1
FUN_006702-T1,-1,-1
FUN_006869-T1,-1,1
FUN_006873-T1,-1,-1
FUN_006926-T1,-1,1
FUN_006937-T1,-1,-1
FUN_006949-T1,-1,-1
FUN_006958-T1,-1,-1
FUN_006967-T1,1,-1
